 approach_a , approach_b 
710611.2375,0
1460891.019,10760698.25
165238.1802,0
379904.5632,0
506385.0361,7183763.623
734804.561,0
429103.343,0
610118.7543,0
265570.5026,0
953174.6626,5665927.034
0,0
758123.3093,0
343900.5105,0
450241.9579,0
424489.2912,0
562649.2675,0
723492.2475,11655737.74
0,0
600796.9538,8484395.437
427501.3449,0
0,3791951.742
705237.2164,0
736664.6186,0
2552299.841,0
1800224.768,0
410904.9367,0
522378.779,0
808965.2629,0
1360164.771,0
0,6842418.978
0,0
3440351.458,2074142.655
474742.4002,4517307.948
556888.2777,7905813.617
190741.7417,0
635986.5376,0
716345.6997,0
1195982.712,0
589887.1802,0
605689.0044,0
540278.7652,0
427108.2098,0
204885.3161,0
226965.5491,0
721902.265,2285183.98
552033.3096,0
76488.19007,0
1034412.586,0
413743.1679,0
1391626.783,0
187306.2899,0
327586.6036,0
226826.9241,0
416503.0281,0
293440.0517,0
0,0
2047240.09,0
0,0
821523.4095,0
702538.5232,7954223.295
287645.0231,0
357554.8735,9363608.151
0,0
262153.3801,14034769.5
814557.2883,8463018.392
1138261.719,0
0,0
249051.9831,0
0,0
309887.9054,0
344594.6214,9026467.686
766621.5895,0
255808.3942,5048423.667
482623.9415,0
2144728.726,0
398856.8356,0
54218.90714,1952287.673
774970.3324,4480289.978
389271.9642,0
761771.2792,3187028.87
373449.1808,0
2355300.084,0
1709816.984,0
479840.6854,0
603557.5768,0
777570.3042,0
1032729.887,0
269241.829,0
374930.5982,0
0,0
725788.1677,10194465.69
675987.9799,0
390387.4092,0
1148732.519,9084264.723
1268915.605,0
0,0
430877.8788,0
150090.6554,0
404575.3978,0
1040757.168,9257607.813
658721.6029,5876023.114
186455.315,5075413.698
842723.6171,0
605370.3175,0
468661.4,0
207832.1116,3919752.173
279194.9305,0
421465.3109,0
807642.5515,3511027.716
98388.24751,0
697642.9132,0
0,0
284585.0824,0
409549.8852,0
568313.6925,0
957264.258,0
757868.9563,0
838072.4841,0
387124.9582,7008047.193
781668.44,0
74777.55035,0
468613.0316,3523614.96
583773.2895,0
469439.0565,0
0,0
425278.0986,10830574.76
527735.6205,0
1461319.801,7164339.809
461427.4789,0
1941837.57,0
114659.4134,3143416.907
574787.803,0
707318.8787,0
